x	c0	c1	c2	cf
-0.73	1	0.68231	0.4651	0.2
-0.72	1	0.68851	0.46652	0.2
-0.71	1	0.69465	0.46794	0.2
-0.7	1	0.70073	0.46933	0.2
-0.69	1	0.70675	0.47071	0.2
-0.68	1	0.71271	0.47208	0.2
-0.67	1	0.7186	0.47343	0.2
-0.66	1	0.72442	0.47476	0.2
-0.65	1	0.73018	0.47607	0.2
-0.64	1	0.73587	0.47737	0.2
-0.63	1	0.74149	0.47866	0.2
-0.62	1	0.74704	0.47992	0.2
-0.61	1	0.75251	0.48117	0.2
-0.6	1	0.75791	0.4824	0.2
-0.59	1	0.76324	0.48362	0.2
-0.58	1	0.76849	0.48481	0.2
-0.57	1	0.77366	0.48599	0.2
-0.56	1	0.77875	0.48715	0.2
-0.55	1	0.78377	0.4883	0.2
-0.54	1	0.7887	0.48942	0.2
-0.53	1	0.79355	0.49053	0.2
-0.52	1	0.79832	0.49162	0.2
-0.51	1	0.80301	0.49269	0.2
-0.5	1	0.80762	0.49374	0.2
-0.49	1	0.81214	0.49477	0.2
-0.48	1	0.81657	0.49579	0.2
-0.47	1	0.82092	0.49678	0.2
-0.46	1	0.82518	0.49776	0.2
-0.45	1	0.82936	0.49872	0.2
-0.44	1	0.83345	0.49966	0.2
-0.43	1	0.83745	0.50058	0.2
-0.42	1	0.84136	0.50147	0.2
-0.41	1	0.84518	0.50235	0.2
-0.4	1	0.84891	0.50321	0.2
-0.39	1	0.85256	0.50405	0.2
-0.38	1	0.85611	0.50487	0.2
-0.37	1	0.85957	0.50567	0.2
-0.36	1	0.86295	0.50645	0.2
-0.35	1	0.86623	0.50721	0.2
-0.34	1	0.86942	0.50795	0.2
-0.33	1	0.87252	0.50867	0.2
-0.32	1	0.87552	0.50937	0.2
-0.31	1	0.87844	0.51005	0.2
-0.3	1	0.88126	0.51071	0.2
-0.29	1	0.88399	0.51134	0.2
-0.28	1	0.88663	0.51196	0.2
-0.27	1	0.88917	0.51255	0.2
-0.26	1	0.89163	0.51313	0.2
-0.25	1	0.89399	0.51368	0.2
-0.24	1	0.89626	0.51421	0.2
-0.23	1	0.89843	0.51472	0.2
-0.22	1	0.90052	0.51521	0.2
-0.21	1	0.90251	0.51568	0.2
-0.2	1	0.9044	0.51612	0.2
-0.19	1	0.90621	0.51655	0.2
-0.18	1	0.90792	0.51695	0.2
-0.17	1	0.90954	0.51733	0.2
-0.16	1	0.91107	0.5177	0.2
-0.15	1	0.9125	0.51803	0.2
-0.14	1	0.91384	0.51835	0.2
-0.13	1	0.91509	0.51865	0.2
-0.12	1	0.91625	0.51892	0.2
-0.11	1	0.91731	0.51917	0.2
-0.1	1	0.91828	0.5194	0.2
-0.09	1	0.91916	0.51961	0.2
-0.08	1	0.91994	0.5198	0.2
-0.07	1	0.92064	0.51996	0.2
-0.06	1	0.92124	0.5201	0.2
-0.05	1	0.92175	0.52023	0.2
-0.04	1	0.92216	0.52032	0.2
-0.03	1	0.92248	0.5204	0.2
-0.02	1	0.92272	0.52046	0.2
-0.01	1	0.92285	0.52049	0.2
0	1	0.9229	0.5205	0.2
0.01	1	0.92285	0.52049	0.2
0.02	1	0.92272	0.52046	0.2
0.03	1	0.92248	0.5204	0.2
0.04	1	0.92216	0.52032	0.2
0.05	1	0.92175	0.52023	0.2
0.06	1	0.92124	0.5201	0.2
